"행정구역","2021년10월_총인구수","2021년10월_세대수","2021년10월_세대당 인구","2021년10월_남자 인구수","2021년10월_여자 인구수","2021년10월_남여 비율"
"서울특별시  (1100000000)","9,532,428","4,422,587","          2.16","4,630,630","4,901,798","          0.94"
"서울특별시 종로구 (1111000000)","145,346","73,613","          1.97","70,552","74,794","          0.94"
"서울특별시 종로구 청운효자동(1111051500)","12,011","5,252","          2.29","5,553","6,458","          0.86"
"서울특별시 종로구 사직동(1111053000)","9,367","4,686","          2.00","4,206","5,161","          0.81"
"서울특별시 종로구 삼청동(1111054000)","2,478","1,251","          1.98","1,178","1,300","          0.91"
"서울특별시 종로구 부암동(1111055000)","9,631","4,278","          2.25","4,599","5,032","          0.91"
"서울특별시 종로구 평창동(1111056000)","18,145","7,479","          2.43","8,453","9,692","          0.87"
"서울특별시 종로구 무악동(1111057000)","8,312","3,078","          2.70","3,868","4,444","          0.87"
"서울특별시 종로구 교남동(1111058000)","10,088","4,460","          2.26","4,653","5,435","          0.86"
"서울특별시 종로구 가회동(1111060000)","4,156","2,013","          2.06","1,919","2,237","          0.86"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,188","5,235","          1.37","4,252","2,936","          1.45"
"서울특별시 종로구 종로5.6가동(1111063000)","5,130","3,408","          1.51","2,747","2,383","          1.15"
"서울특별시 종로구 이화동(1111064000)","7,289","4,312","          1.69","3,446","3,843","          0.90"
"서울특별시 종로구 혜화동(1111065000)","16,515","9,266","          1.78","7,988","8,527","          0.94"
"서울특별시 종로구 창신제1동(1111067000)","4,926","2,842","          1.73","2,632","2,294","          1.15"
"서울특별시 종로구 창신제2동(1111068000)","7,980","4,045","          1.97","4,105","3,875","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,640","2,810","          2.36","3,270","3,370","          0.97"
"서울특별시 종로구 숭인제1동(1111070000)","5,867","2,966","          1.98","2,830","3,037","          0.93"
"서울특별시 종로구 숭인제2동(1111071000)","9,623","6,232","          1.54","4,853","4,770","          1.02"
"서울특별시 중구 (1114000000)","122,781","63,409","          1.94","59,802","62,979","          0.95"
"서울특별시 중구 소공동(1114052000)","2,235","1,282","          1.74","1,065","1,170","          0.91"
"서울특별시 중구 회현동(1114054000)","4,838","2,773","          1.74","2,518","2,320","          1.09"
"서울특별시 중구 명동(1114055000)","2,874","1,531","          1.88","1,255","1,619","          0.78"
"서울특별시 중구 필동(1114057000)","4,043","2,495","          1.62","2,049","1,994","          1.03"
"서울특별시 중구 장충동(1114058000)","4,617","2,754","          1.68","2,358","2,259","          1.04"
"서울특별시 중구 광희동(1114059000)","5,231","3,362","          1.56","2,676","2,555","          1.05"
"서울특별시 중구 을지로동(1114060500)","1,759","1,352","          1.30","1,067","692","          1.54"
"서울특별시 중구 신당동(1114061500)","7,671","4,711","          1.63","3,790","3,881","          0.98"
"서울특별시 중구 다산동(1114062500)","13,869","6,898","          2.01","6,750","7,119","          0.95"
"서울특별시 중구 약수동(1114063500)","16,741","7,849","          2.13","7,819","8,922","          0.88"
"서울특별시 중구 청구동(1114064500)","13,626","6,276","          2.17","6,436","7,190","          0.90"
"서울특별시 중구 신당제5동(1114065000)","10,382","5,378","          1.93","5,056","5,326","          0.95"
"서울특별시 중구 동화동(1114066500)","10,329","4,107","          2.51","5,006","5,323","          0.94"
"서울특별시 중구 황학동(1114067000)","12,508","6,978","          1.79","5,971","6,537","          0.91"
"서울특별시 중구 중림동(1114068000)","12,058","5,663","          2.13","5,986","6,072","          0.99"
"서울특별시 용산구 (1117000000)","223,713","111,067","          2.01","107,607","116,106","          0.93"
"서울특별시 용산구 후암동(1117051000)","16,924","8,455","          2.00","8,256","8,668","          0.95"
"서울특별시 용산구 용산2가동(1117052000)","9,478","5,236","          1.81","4,581","4,897","          0.94"
"서울특별시 용산구 남영동(1117053000)","7,334","5,160","          1.42","4,459","2,875","          1.55"
"서울특별시 용산구 청파동(1117055500)","19,541","11,067","          1.77","9,163","10,378","          0.88"
"서울특별시 용산구 원효로제1동(1117056000)","15,986","8,107","          1.97","7,600","8,386","          0.91"
"서울특별시 용산구 원효로제2동(1117057000)","13,780","5,968","          2.31","6,490","7,290","          0.89"
"서울특별시 용산구 효창동(1117058000)","10,071","4,393","          2.29","4,764","5,307","          0.90"
"서울특별시 용산구 용문동(1117059000)","11,916","5,369","          2.22","5,707","6,209","          0.92"
"서울특별시 용산구 한강로동(1117062500)","21,746","11,686","          1.86","10,295","11,451","          0.90"
"서울특별시 용산구 이촌제1동(1117063000)","26,077","9,603","          2.72","12,215","13,862","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","8,341","3,695","          2.26","3,908","4,433","          0.88"
"서울특별시 용산구 이태원제1동(1117065000)","6,433","3,630","          1.77","3,133","3,300","          0.95"
"서울특별시 용산구 이태원제2동(1117066000)","9,033","4,928","          1.83","4,165","4,868","          0.86"
"서울특별시 용산구 한남동(1117068500)","20,454","11,003","          1.86","9,879","10,575","          0.93"
"서울특별시 용산구 서빙고동(1117069000)","13,049","5,311","          2.46","6,248","6,801","          0.92"
"서울특별시 용산구 보광동(1117070000)","13,550","7,456","          1.82","6,744","6,806","          0.99"
"서울특별시 성동구 (1120000000)","287,174","134,517","          2.13","139,958","147,216","          0.95"
"서울특별시 성동구 왕십리제2동(1120052000)","16,475","7,419","          2.22","7,978","8,497","          0.94"
"서울특별시 성동구 왕십리도선동(1120053500)","26,546","11,885","          2.23","12,597","13,949","          0.90"
"서울특별시 성동구 마장동(1120054000)","22,459","10,967","          2.05","11,079","11,380","          0.97"
"서울특별시 성동구 사근동(1120055000)","12,030","8,015","          1.50","6,195","5,835","          1.06"
"서울특별시 성동구 행당제1동(1120056000)","13,931","6,442","          2.16","6,717","7,214","          0.93"
"서울특별시 성동구 행당제2동(1120057000)","23,413","9,254","          2.53","10,958","12,455","          0.88"
"서울특별시 성동구 응봉동(1120058000)","15,460","6,058","          2.55","7,354","8,106","          0.91"
"서울특별시 성동구 금호1가동(1120059000)","15,313","6,577","          2.33","7,296","8,017","          0.91"
"서울특별시 성동구 금호2.3가동(1120061500)","22,721","10,111","          2.25","10,820","11,901","          0.91"
"서울특별시 성동구 금호4가동(1120062000)","14,364","6,384","          2.25","6,847","7,517","          0.91"
"서울특별시 성동구 옥수동(1120064500)","26,116","10,924","          2.39","12,146","13,970","          0.87"
"서울특별시 성동구 성수1가제1동(1120065000)","16,574","7,806","          2.12","8,278","8,296","          1.00"
"서울특별시 성동구 성수1가제2동(1120066000)","12,728","6,189","          2.06","6,242","6,486","          0.96"
"서울특별시 성동구 성수2가제1동(1120067000)","15,925","8,200","          1.94","8,324","7,601","          1.10"
"서울특별시 성동구 성수2가제3동(1120069000)","10,874","5,598","          1.94","5,481","5,393","          1.02"
"서울특별시 성동구 송정동(1120072000)","10,515","5,583","          1.88","5,553","4,962","          1.12"
"서울특별시 성동구 용답동(1120079000)","11,730","7,105","          1.65","6,093","5,637","          1.08"
"서울특별시 광진구 (1121500000)","340,814","167,559","          2.03","164,425","176,389","          0.93"
"서울특별시 광진구 화양동(1121571000)","23,020","17,629","          1.31","10,958","12,062","          0.91"
"서울특별시 광진구 군자동(1121573000)","19,669","11,312","          1.74","9,709","9,960","          0.97"
"서울특별시 광진구 중곡제1동(1121574000)","15,516","8,344","          1.86","7,513","8,003","          0.94"
"서울특별시 광진구 중곡제2동(1121575000)","21,576","10,654","          2.03","10,174","11,402","          0.89"
"서울특별시 광진구 중곡제3동(1121576000)","16,219","8,467","          1.92","8,044","8,175","          0.98"
"서울특별시 광진구 중곡제4동(1121577000)","28,700","13,156","          2.18","14,068","14,632","          0.96"
"서울특별시 광진구 능동(1121578000)","11,335","6,393","          1.77","5,210","6,125","          0.85"
"서울특별시 광진구 광장동(1121581000)","34,817","11,956","          2.91","16,840","17,977","          0.94"
"서울특별시 광진구 자양제1동(1121582000)","22,333","11,896","          1.88","10,824","11,509","          0.94"
"서울특별시 광진구 자양제2동(1121583000)","24,782","11,028","          2.25","12,026","12,756","          0.94"
"서울특별시 광진구 자양제3동(1121584000)","28,142","11,098","          2.54","13,467","14,675","          0.92"
"서울특별시 광진구 자양제4동(1121584700)","17,802","9,780","          1.82","8,880","8,922","          1.00"
"서울특별시 광진구 구의제1동(1121585000)","21,636","12,153","          1.78","10,301","11,335","          0.91"
"서울특별시 광진구 구의제2동(1121586000)","26,603","11,590","          2.30","12,837","13,766","          0.93"
